Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %),Total de Despesas Municipais  Saneamento 2011,Total de Despesas Municipais  Gestão Ambiental 2011,Total de Despesas Municipais - Saúde 2013
Duartina,3654,215271.8,12059,91.57,,270397,7951857
Dumont,2245,235049.6,9200,97.75,1421956,,4689076
Echaporã,41450,128877.4,6244,81.87,,,4597210
Eldorado,180,224074.9,14990,49.21,,193474,8780285
Elias Fausto,4470,594380.6,16901,82.94,,,11673992
Elisiário,614,62633.56,3393,93.04,306015,108393,2560792
Embaúba,443,47867.13,2408,87.79,,,2428366
Embu das Artes,70122,10004647,261836,100,,481740,66016647
Embu-Guaçu,24838,1063716,66470,97.33,195344,570703,32611526
Engenheiro Coelho,2042,439779.4,19190,75.28,1969509,1183403,11593901
Espírito Santo do Pinhal,8915,1327264,42405,90.58,,2266960,30612991
Estiva Gerbi,3328,234026.5,10777,79.76,1028006,14913,6050197
Estrela d'Oeste,2800,578256.3,8132,86.19,,,3756712
Estrela do Norte,885,83359.7,2658,84.61,,,2768422
Euclides da Cunha Paulista,1362,112223.9,9514,64.31,,,5318673
Fernando Prestes,972,163966.6,5566,89.13,,6260,5117856
Fernandópolis,36179,1975540,65776,96.94,,923173,36309461
Fernão,321,48527.61,1622,59.19,,66024,2638452
Ferraz de Vasconcelos,61517,2859009,185584,95.51,885694,552441,48986424
Flora Rica,2,35513.77,1628,85.63,,46319,2152221
Floreal,516,55110.45,2897,83.81,,,3117639
Franca,99930,9689019,335564,98.24,,1006785,160248864
Francisco Morato,73498,1372211,168120,99.8,,,51592525
Franco da Rocha,89033,2460082,146129,92.13,,255992,56996809
Gabriel Monteiro,330,59427.23,2694,87.45,2273,,3183945
Gália,1800,122800,6663,76.66,,142806,4958204
Garça,27216,1091079,42654,93.11,9415737,82312,21964294
Gastão Vidigal,1776,59541.92,4614,92.8,,,3292972
Gavião Peixoto,2017,860154.2,4553,87.31,707486,,8027973
General Salgado,3287,528457.4,10671,87.59,,,6530672
Getulina,2160,170097,10817,80.35,1089797,,5500827
Glicério,54,101972.8,4698,76.07,561247,37552,4608915
Guaiçara,4756,186879.7,11576,92.55,2042680,90640,5677082
Guaimbê,825,72903.03,5493,90.19,468889,,4273821
Guaíra,12744,3821035,38619,96.81,11375677,,30849484
Guapiaçu,5005,508225.6,20021,90.27,679337,12746,12140035
Guapiara,1159,529401.7,17724,41.59,,625,12426918
Guaraçaí,7300,259904,8428,81.22,1650453,,6993721
Guaraci,8502,325484.7,10685,92.09,1445301,1628,9594174
Guarani d'Oeste,450,30634.16,1937,89,,,2302796
Guarantã,1390,147330.7,6452,89.43,1407544,,4597640
Guararapes,8388,1237334,31696,93.62,5231092,141739,16618623
Guararema,11043,1427047,28330,86.05,878895,1662897,26559604
Guaratinguetá,28201,4232993,116597,95.34,1937139,49367,77997993
Guareí,3217,229065.7,15395,57.76,,,8249688
Guariba,613,1174644,38010,98.29,,747692,18816912
Guarujá,158852,7905851,308522,99.98,10767149,6506317,241925066
Guarulhos,361369,53974919,1313169,100,471878062,56279193,959780546
Guatapará,3186,206085.1,7297,78.48,689898,7446,6415278
Guzolândia,3270,64696.53,5004,87.89,,213897,4181891
Herculândia,2105,269831,9091,93.08,1075405,97870,5863163
Holambra,1653,909273.8,13616,81.71,998409,95047,10232101
Hortolândia,84012,11515072,218934,100,,4405837,146618985
Iacanga,6090,629954.6,10939,88.23,1322855,,9277773
Iacri,1285,149485.8,6320,82.96,,,5639335
Iaras,2192,134887.9,6731,44.5,,,5186513
Ibaté,0,774228.3,33572,96.45,3606613,686661,17700996
Ibirá,1558,221036.7,11733,93.22,791334,,7099962
Ibirarema,3448,350597,7274,93.58,1025749,247934,4506498
Ibitinga,14485,1354044,57022,96.62,45996,212416,17159552
Ibiúna,20866,1597888,74875,36.32,,736285,40197636
Icém,2025,405233.1,7867,86.44,,253722,11225191
Iepê,2309,243516.4,7828,91.84,1016063,,9311230
Igaratá,3400,177756.3,9169,83.93,321230,2791,6874091
Iguape,5679,620571.6,29235,87.26,311385,78018,16575943
Ilha Solteira,10603,568519.7,25591,93.84,7662495,,23828990
Ilhabela,16425,3011806,31988,99.31,,6766224,42617716
Indaiatuba,72543,11735700,232586,98.99,46256080,333990,172293204
Indiana,1460,60021.65,4791,87.41,751837,,2843709
Indiaporã,700,72565,3863,89.67,,546711,3872217
Inúbia Paulista,292,124058.9,3818,89.81,,47206,3059457
Ipaussu,7360,367707.4,14247,93.63,1779569,,7535451
Iperó,9557,476481.7,32632,61.71,4076923,32977,14055724
Ipeúna,2490,659789.4,7087,89.45,2166624,,7870415
Ipiguá,377,85629.95,5011,63.44,307064,,3571845
Ipuã,6886,353575.5,15360,96.58,2314196,,11323787
Iracemápolis,726,1163373,22655,98.21,3420429,589928,14874349
Irapuru,1032,84026.44,7460,70.7,,,3636407
Itaí,3647,771037,25753,78.52,,4139285,19117715
Itajobi,3502,560527.7,14618,86.75,1378215,,10612752
Itaju,576,93803.85,3539,78.75,173462,,2904375
Itanhaém,36091,1603283,95235,99.2,11866083,324214,66127898
Itaóca,475,35903.66,3186,54.52,,148,2611212
Itapecerica da Serra,956,3853304,164559,99.17,134083,5933738,76526272
Itapetininga,16748,4652157,155410,91.67,99535,2123644,91125427
Itapeva,48399,2409815,90414,89.32,1908848,586490,66157433
Itapevi,130074,12147662,226211,100,,1019478,134748982
Itapira,1019,3430994,70802,93.47,14175607,,53606623
Itapirapuã Paulista,768,33631.13,4075,50.58,,,3214526
Itápolis,9787,1178197,41120,93.05,4131533,505055,21399918
Itaporanga,7001,280430.7,14635,79.83,,,9584226
Itapuí,3169,610325.8,13314,96.69,1590248,,10480280
Itapura,1500,99603.89,4748,79.91,1349185,,4446559
Itaquaquecetuba,94603,6507690,355502,100,2180647,1552738,82762706
Itararé,7368,923171.8,48633,92.63,,,25879337
Itariri,1885,231645,16720,69.29,,,8242673
Itatiba,32434,5122839,113324,86.37,2730318,14236908,79730876
Itatinga,3600,265524.9,19779,92.74,,757605,12136843
Itirapina,9544,404517.5,16682,91.87,2711919,450450,12616486
Itirapuã,966,77912.12,6167,85.54,,,3592530
Itobi,1250,127386.9,7591,93.11,,,3780825
Itu,148318,7641850,165253,94.69,2332200,2867419,95039520
Itupeva,10165,4685473,54901,91.98,,,42282012
Jaborandi,4550,141217.4,6657,94.61,,,4890785
Jaboticabal,33901,2668378,73541,97.98,23899858,,52603052
Jacareí,55118,9980970,223207,98.62,48845592,33104164,153520399
Jaci,1487,387969.9,6587,90.37,841752,,4608912
Jaguariúna,8627,8422261,52125,98.05,,14213290,72485749
Jales,104768,1314174,47204,94.1,,,24355439
Jambeiro,1810,274960.4,5989,47.87,,,5752025
Jandira,31581,3419632,119011,100,,305584,51922111
Jardinópolis,9927,1012332,41436,97.62,5202980,504289,26129647
Jarinu,8609,1978140,28070,83.9,,,21981294
Jaú,34099,4326560,142860,97.39,47219761,1517596,63860723
João Ramalho,731,158878.7,4313,88.08,311799,,4554070
José Bonifácio,7430,1235143,35036,91.94,6914111,26831,18916008
Jumirim,584,71859.8,3166,63.52,506921,,2930065
Jundiaí,292985,39782736,397353,96.77,14844457,9631129,417319165
Junqueirópolis,7678,951295,19666,84.26,1485986,,14451103
Juquiá,1939,346043.3,18878,64.7,,180382,14571894
Juquitiba,7100,442468.8,29862,83.62,,1294232,17322041
Lagoinha,940,57554.16,4819,69.21,,,4253714
Laranjal Paulista,7470,879382.3,27077,90.27,,41827,19344599
Lavínia,1339,146398.7,8570,48.81,1028649,,5292078
Leme,31100,2941350,98284,98.17,40552240,1644187,60056134
Lençóis Paulista,59370,2454900,64933,98.16,11917415,243843,37982343
Limeira,228557,11069068,290613,97.52,11187315,6613486,189597697
Lindóia,1506,151744.9,7456,100,1243198,,4418827
Lins,40561,4216272,74120,98.83,,,38288438
Lorena,20244,2351891,85442,97.46,,6771713,47601010
Lourdes,588,37866.98,2171,84.66,,,3035245
Louveira,22687,11263136,45236,97.35,14460353,4709319,69191173
Lucélia,8761,395512.7,20701,87.2,,,13079590
Lucianópolis,480,53276.62,2254,80.83,,,3426229
Luiziânia,1500,69319.47,5536,93.86,,,4562898
Lupércio,718,52070.54,4400,94.27,,90224,3322113
Lutécia,573,87685.92,2644,82.64,,,3387091
Macatuba,4294,624880,16736,97.63,1261858,1418398,12426427
Macaubal,1979,143204.2,7740,90.12,931393,,5089396
Macedônia,210,71746.25,3600,78.5,,,3085881
Magda,622,67989.13,3122,84.82,,54904,4605754
Mairinque,12416,1802771,45439,80.26,,,19624094
Manduri,1361,178525,9378,90.84,1250761,,4858142
Marabá Paulista,2980,146392.1,4893,44.51,894,23679,3608531
Maracaí,2988,515045.4,13473,92.01,,109411,11151507
Marapoama,436,427212.7,2830,88.69,376089,280,2671527
Marília,56912,7353419,227380,95.51,56686365,3788023,211163063
Marinópolis,1110,30877.23,2100,81.48,,,2568752
Martinópolis,3914,560867,25242,86.1,2524282,67317,14866367
Matão,73390,3720652,79171,98.16,25341221,10503813,42213781
Mauá,144255,13963846,447911,100,122013948,2430108,250162595
Mendonça,1642,216568.5,4934,85.67,451047,,5196235
Meridiano,684,720319.3,3775,71.55,,111196,4126062
Mesópolis,600,50297.76,1890,84.39,,191341,2504682
Mineiros do Tietê,0,163743,12432,95.53,,,6077304
Mira Estrela,1087,55529.58,2905,66.71,,,3632502
Mirandópolis,5853,611656.8,28335,90.69,3801124,,11690124
Mirassol,18000,1751644,56685,97.47,571950,441661,29918468
Mirassolândia,900,85846.12,4580,81.31,323247,,3325702
Mococa,15670,1937895,66606,94.36,,45091,48652474
Mogi das Cruzes,143050,14426294,419486,92.57,148149570,2326175,208140517
Mogi Guaçu,44025,4993575,145149,95.67,37783846,3303595,120446860
Mogi Mirim,26159,4275830,89390,95.22,28597627,1617499,81408275
Mombuca,730,66889.48,3313,86.87,,63422,3148229
Monções,1251,70989.93,2166,86.93,,,4312140
Mongaguá,23022,913697,52169,99.56,10041674,802426,32582847
Monte Alegre do Sul,3335,192078.3,7589,60.8,490885,152614,4415213
Monte Alto,1145,1747925,47959,96.53,,79127,27247833
Monte Aprazível,6416,627139.4,23045,92.48,1975159,149791,11653307
Monte Azul Paulista,14450,490771.6,18408,94.97,4663776,566377,9875289
Monte Castelo,1207,89703.72,4007,82.31,336097,,3761820
Monte Mor,14030,2260958,56359,95.1,,,41277541
Monteiro Lobato,784,57845.93,4364,44.04,,57126,3891019
Morro Agudo,2401,1240390,31383,97.29,4207750,202094,23443337
Morungaba,2473,396689.5,12815,88.9,,226670,8539927
Motuca,842,82173.11,4536,77.84,322092,,5451373
Narandiba,1222,229625.1,4671,78.91,,14685,6480952
Nazaré Paulista,5500,310530.6,17842,95.01,,,8704499
Neves Paulista,2127,188280.7,8677,91.6,823997,,6088170
Nhandeara,360,284482.4,10790,83.17,50459,22065,7392195
Nipoã,4369,86712.17,4781,90.27,,,3164253
Nova Aliança,1450,117985,6289,86.23,736324,104368,5130260
Nova Campina,1325,283827.5,9303,76.18,,,4796849
Nova Canaã Paulista,192,34656.7,1987,47.86,53995,,2695506
Nova Europa,1600,313712.1,10323,94.41,1118437,65832,7749095
Nova Granada,4620,418621.5,20411,93.5,,,9471216
Nova Guataporanga,578,29362.92,2188,89.03,,,2585415
Nova Independência,700,123891,3547,83.59,1692660,,4095029
Nova Odessa,11203,2810059,56142,98.37,11142080,,41448544
Novais,886,48468.25,5256,92.87,231213,,2470454
Novo Horizonte,9257,1246711,38281,93.67,,2427802,18133040
Nuporanga,1407,468829,7141,94.33,997719,,9052870
Ocauçu,2757,96687.33,4149,84.74,964495,,3693982
Olímpia,15717,1899213,51826,95.23,14731560,,35717840
Onda Verde,1310,202840.2,4126,83.42,,,3360902
Orindiúva,3802,443243,6529,93.03,,,7404298
Orlândia,10945,1598881,41570,97.42,6498891,,24172293
Osasco,913009,74402691,676149,100,221596,8773285,438713537
Osvaldo Cruz,7023,974585.4,31185,90.88,244203,1688174,19153972
Ourinhos,37733,2772919,108327,97.42,19882730,1685526,69284629
Ouroeste,5521,424151.8,9385,92.68,,2724,17517883
Pacaembu,3925,199374.1,13105,73.68,1695171,,7822061
Palestina,2228,565086.7,11863,85.22,,,8794377
Palmares Paulista,2038,109618,12398,97.12,,,4265573
Palmeira d'Oeste,750,187300.4,9239,79.87,,,5570979
Palmital,1610,612797.8,21484,94.09,4367093,,18536762
Panorama,912,254551.4,15017,97.74,2659912,,9106716
Paraguaçu Paulista,10603,1183813,43629,90.62,,255986,30487142
Paraibuna,3241,255092.4,17976,30.15,3407774,,12664779
Paraíso,1525,233784.8,6169,90.32,585083,,6394591
Paranapuã,1687,82281.16,3873,91.07,,,3166929
Parapuã,5064,297742.5,10600,85.06,,,6391141
Pardinho,1600,277182.1,6144,86.08,,78646,4070413
Pariquera-Açu,10,505245.5,19015,70.1,,657736,8156649
Parisi,620,37168.78,2050,82.93,450242,,2602982
Patrocínio Paulista,4735,889461.2,14031,83.9,1949507,,10023772
Paulicéia,1207,575097.5,6910,87.6,445704,36012,4733497
Paulínia,72075,31504043,98915,99.91,9543348,931965,200839728
Paulistânia,469,30917.32,1774,75.25,,5433,2790750
Paulo de Faria,5808,227325.2,8531,91.34,,,5439951
Pederneiras,21901,1673972,44383,93,,250993,26612844
Pedra Bela,630,73567.11,5912,27.52,,,3975995
Pedranópolis,370,55747.84,2455,63.42,,105,3166236
Pedreira,13009,1124078,45161,99.16,14950998,4753004,28784446
Pedrinhas Paulista,642,101683.5,2990,86.35,,138019,3896206
Penápolis,19397,1685692,60157,96.57,,,48319836
Pereira Barreto,8991,819847.3,25276,93.48,5416268,511545,23555161
Pereiras,1558,150353,8147,66.79,1481326,,4826138
Piacatu,1155,100550.2,5714,91.07,130710,143224,4402233
Piedade,15394,1175922,53078,46.67,,,20415237
Pilar do Sul,9245,594350.8,27692,81.94,,242994,13138749
Pindamonhangaba,36730,6708744,158974,97.08,366487,1712341,110875518
Pindorama,3712,305689.5,15946,94.66,954611,,11154007
Pinhalzinho,3249,235728.3,14275,50.02,665902,,5518031
Piquete,2500,148416.2,13754,93.78,372605,368472,6267746
Piracaia,6720,443893.1,25929,100,,94967,12753542
Piracicaba,90122,21557592,382817,98.13,139002386,75906673,79289528
Piraju,11554,602190.8,28569,91.52,,1328853,18362229
Pirajuí,4300,395072.3,23169,81.86,3299010,541746,12013759
Pirangi,3634,251809,10775,91.35,386581,296988,7478125
Pirapozinho,14384,722608.5,26461,95.68,,65105,13743632
Pirassununga,26583,2474551,72691,93.13,9520475,575713,45360129
Piratininga,3203,193093.8,12875,87.04,,,8025296
Pitangueiras,4779,1028381,37613,97.15,3787476,547484,20537978
Planalto,3,272408.3,4964,87.67,,,5565357
Platina,653,76772.15,3408,81.57,,,3740306
Poá,35752,4343585,112820,98.42,10402125,1658376,80478141
Pompéia,6978,1070880,20901,93.57,5334925,497033,16275805
Pongaí,1390,75098.81,3376,86.97,,,3240273
Pontal,9584,1034414,46869,98.79,3872225,,22196553
Populina,3144,92105.29,4058,83.02,118409,,3762813
Porangaba,974,170534.4,9031,48.28,,,5078578
Porto Feliz,13077,1639061,50877,86.23,12097186,1138107,35347248
Porto Ferreira,10368,1745289,53361,98.21,12239872,507792,27030869
Potim,24000,187880.3,20303,75.83,757558,,9907448
Potirendaba,2040,507078.1,16296,91.53,2008481,179033,9495435
Pracinha,836,26745.83,2893,47.91,,,2314326
Pradópolis,3450,736528.6,19925,93.09,1401075,,11663005
Praia Grande,140457,6181076,301024,100,,,249735175
Pratânia,1912,101120.2,4983,79.91,,,3660739
Presidente Alves,48,76266.39,4044,86.72,,,2517486
Presidente Bernardes,1000,253327.5,13689,81.97,,,10784129
Presidente Epitácio,10534,1041395,42060,93.77,,185342,19168405
Presidente Prudente,100371,7406410,217290,97.96,1914399,5839192,85599205
Presidente Venceslau,33084,701394.7,37997,96.73,5334688,218674,23465250
Promissão,3935,2803097,38481,85.49,3214168,14697,19990715
Quadra,810,90695.08,3571,25.82,,,3351379
Quatá,16820,452458.8,13599,94.75,,15944,10117032
Queiroz,450,427977,3136,88.71,,525,3348511
Queluz,1730,237968.9,12285,82.01,,114594,8187755
Quintana,2002,152374.3,6355,92.18,,,4561451
Rafard,2040,306235.4,8852,89.57,1370196,64451,5401626
Rancharia,12234,1152273,28818,91.24,2732855,501,17177182
Redenção da Serra,850,53758.39,3843,68.12,40937,,2951326
Regente Feijó,31386,611870.5,19203,93.44,,,9271545
Reginópolis,3036,129573.9,7241,59.56,655276,2934,5593589
Registro,25443,1823615,54091,88.77,,2484056,34498100
Restinga,1100,175335,7218,81.35,,,3293025
Ribeirão Bonito,2160,226251.2,12707,94.12,1246712,29377,8940272
Ribeirão Branco,6480,407476.8,17723,56.83,,71429,9814862
Ribeirão Corrente,889,112561.2,4548,81.84,,,3735777
Ribeirão Grande,900,166380.6,7483,31.67,,,4179984
Ribeirão Pires,35420,3021839,117395,100,,3774139,87067063
Ribeirão Preto,447123,29986609,661997,99.72,218007568,6738983,549494799
Rifaina,1576,86401.77,3458,88.4,,75306,5727152
Rincão,3688,174151,10466,82.1,1636598,,7292743
Rinópolis,1244,219211.6,9776,90.6,1385517,,5872736
Rio Claro,54339,8858141,196904,97.75,82875501,6559,155228901
Rio das Pedras,9592,1114580,33041,97.66,11110688,364330,17377440
Rio Grande da Serra,8222,578086.5,48076,100,,287870,13169768
Riolândia,1562,204548.2,11170,79.11,12837,594784,7882455
Riversul,490,59368.25,5817,74.73,192319,263691,3836272
Rosana,1222,2232363,18689,94.57,,,17730482
Roseira,2525,269308.9,10339,95.73,,,5256032
Rubinéia,1080,67891.71,2956,86.4,,,3509070
Sabino,1187,118548.8,5399,90.33,520367,13890,4760737
Sagres,404,40943.94,2365,82.03,,90535,2268694
Sales,1460,130286.2,5889,92.58,1012791,,4865856
Sales Oliveira,2546,320498.7,11255,93.33,1047875,129488,9004398
Salesópolis,3612,196020.4,16468,65.56,,87846,8758483
Saltinho,1708,197474.8,7652,83.77,2899680,266204,5477983
Salto,199542,6204762,112449,99.3,29833514,,77251629
Salto de Pirapora,9662,1263910,43043,78.62,149760,,26352487
Salto Grande,7760,216574.3,8996,91.66,1368522,,5770134
Santa Adélia,3445,299404,14735,94.6,2202866,,9239282
Santa Albertina,900,190216.8,5691,88.24,,,4679349
Santa Bárbara d'Oeste,47717,5079379,186296,99.22,44229343,120899,115241154
Santa Branca,2503,251489.7,14059,88.21,2165062,,9310625
Santa Clara d'Oeste,722,51418.8,2035,79.07,,,2624181
Santa Cruz da Conceição,354,131442.5,4247,75.3,1143441,,3318940
Santa Cruz da Esperança,432,50426.26,2041,68.5,,163970,2981636
Santa Cruz das Palmeiras,9328,453166.8,32622,97.65,,,15395242
Santa Cruz do Rio Pardo,10619,1970531,45452,93.33,,1042780,35152447
Santa Ernestina,1477,89108.09,5534,95.61,,21464,3392560
