Localidades,Quantidade_ton,PIB_reais_correntes_2016,População,FN208 - Despesa total com o serviço de coleta de RDO e RPU (Antigo campo CO009),FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007),FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde. educação. pagamento de pessoal. etc.). (Antigo campo GE010),PO001 - O município possui Política de Saneamento Básico Conforme a Lei 11.445/2007?,PO028 - O município possui plano municipal de saneamento básico. elaborado nos termos estabelecidos na Lei 11.445/2007?
Itu,148318.00,7641850.00,165253.00,13818737.41,42618371.90,602000000.00,0,1
Itupeva,10165.00,4685473.00,54901.00,,10185314.98,200309590.09,1,1
Jaborandi,4550.00,141217.4,6657.00,212000.00,707000.00,20862648.35,0,0
Jaboticabal,33901.00,2668378.00,73541.00,3193409.36,3193409.36,242688398.46,1,1
Jacareí,55118.00,9980970.00,223207.00,19073032.10,35570273.80,586616081.89,1,1
Jaci,1486.80,387969.9,6587.00,168000.00,171000.00,22406091.31,0,0
Jaguariúna,8627.00,8422261.00,52125.00,4755310.69,6922027.15,290454960.09,1,1
Jales,104768.00,1314174.00,47204.00,1673786.95,2919510.45,134282851.22,0,0
Jambeiro,1810.00,274960.4,5989.00,370477.72,561252.63,26123071.84,0,0
Jandira,31581.00,3419632.00,119011.00,,9171720.00,184248699.60,0,0
Jardinópolis,9927.00,1012332.00,41436.00,2485666.47,2626740.22,117202696.50,1,1
Jarinu,8609.00,1978140.00,28070.00,,,,1,1
Jaú,34099.00,4326560.00,142860.00,,,,,
João Ramalho,731.00,158878.7,4313.00,400000.00,568000.00,15500000.00,0,0
José Bonifácio,7430.00,1235143.00,35036.00,,,,,
Jumirim,584.40,71859.8,3166.00,,,15635013.44,1,1
Jundiaí,292985.00,39782736.00,397353.00,15294416.59,89785068.52,1821568578.36,1,1
Junqueirópolis,7678.00,951295.00,19666.00,540669.14,985623.28,59347044.09,1,1
Juquiá,1939.10,346043.3,18878.00,662478.01,976218.60,34954682.00,1,1
Juquitiba,7099.60,442468.8,29862.00,,,,,
Lagoinha,940.00,57554.16,4819.00,52272.00,112344.00,2798031.61,0,0
Laranjal Paulista,7470.00,879382.3,27077.00,,,,,
Lavínia,1339.00,146398.7,8570.00,315148.97,417420.41,27296122.86,1,1
Leme,31100.00,2941350.00,98284.00,,9658213.00,188259635.00,0,1
Lençóis Paulista,59370.00,2454900.00,64933.00,1859915.20,3527554.36,162414632.28,1,1
Limeira,228557.00,11069068.00,290613.00,10750869.40,25899512.90,743873032.42,1,1
Lindóia,1506.20,151744.9,7456.00,261866.37,330652.86,35044655.55,0,1
Lins,40561.00,4216272.00,74120.00,2603220.00,14432451.84,177336056.78,0,0
Lorena,20244.00,2351891.00,85442.00,3203440.44,5183695.82,169113060.59,1,1
Lourdes,588.00,37866.98,2171.00,15450.00,25769.00,10903859.99,0,0
Louveira,22687.00,11263136.00,45236.00,4136697.60,5472500.84,344053565.00,1,1
Lucélia,8761.00,395512.7,20701.00,500000.00,977000.00,48100000.00,1,1
Lucianópolis,480.20,53276.62,2254.00,199958.12,207758.12,12178000.00,0,1
Luiziânia,1500.00,69319.47,5536.00,309896.22,323097.12,14377793.87,0,0
Lupércio,717.80,52070.54,4400.00,252359.62,311400.65,11006403.90,0,0
Lutécia,573.00,87685.92,2644.00,185798.64,505191.32,13805806.57,0,0
Macatuba,4294.00,624880.00,16736.00,,1149064.87,55632351.07,1,1
Macaubal,1979.00,143204.2,7740.00,400000.00,2400000.00,20600000.00,1,1
Macedônia,210.00,71746.25,3600.00,71317.38,580865.15,17408764.02,0,0
Magda,622.00,67989.13,3122.00,166107.00,172107.00,17012154.07,0,1
Mairinque,12416.00,1802771.00,45439.00,4748633.15,6226223.06,141572154.24,1,1
Manduri,1361.00,178525.00,9378.00,172744.06,877667.26,21133283.04,1,0
Marabá Paulista,2980.00,146392.1,4893.00,102000.00,114950.00,1360000.00,0,0
Maracaí,2988.00,515045.4,13473.00,172000.00,344374.43,40363359.09,1,1
Marapoama,436.00,427212.7,2830.00,115377.96,294698.15,14485406.50,1,1
Marília,56912.00,7353419.00,227380.00,5190669.68,8963540.38,578726094.00,1,1
Marinópolis,1110.00,30877.23,2100.00,85440.00,134966.76,1637429.20,0,0
Martinópolis,3914.00,560867.00,25242.00,,1200000.00,62000000.00,0,0
Matão,73390.00,3720652.00,79171.00,2334706.00,12963128.00,198283673.98,1,0
Mauá,144255.00,13963846.00,447911.00,18829519.19,25703476.55,819305819.97,1,1
Mendonça,1642.00,216568.5,4934.00,154057.76,286948.04,24093341.91,1,1
Meridiano,684.00,720319.3,3775.00,77760.00,279060.00,14725636.15,0,0
Mesópolis,600.00,50297.76,1890.00,,30000.00,13352245.45,0,0
Mineiros do Tietê,0.20,163743.00,12432.00,,1139739.15,30577891.94,1,1
Mira Estrela,1087.00,55529.58,2905.00,107922.59,299246.97,20000070.00,0,1
Mirandópolis,5853.00,611656.8,28335.00,669459.07,1381859.31,55905925.73,1,1
Mirassol,18000.00,1751644.00,56685.00,6600000.00,6901000.00,131962165.17,1,1
Mirassolândia,900.00,85846.12,4580.00,,115636.69,14144010.63,0,0
Mococa,15670.30,1937895.00,66606.00,1010830.13,1010830.13,174288480.30,1,1
Mogi das Cruzes,143050.00,14426294.00,419486.00,30416376.25,43414120.70,977633786.01,0,0
Mogi Guaçu,44025.00,4993575.00,145149.00,7179302.92,8292978.74,94419781.90,1,1
Mogi Mirim,26159.00,4275830.00,89390.00,2616661.90,3007628.30,271405931.96,1,1
Mombuca,730.00,66889.48,3313.00,278281.22,383260.22,14686825.34,1,1
Monções,1251.00,70989.93,2166.00,197189.00,222992.33,17874971.15,1,1
Mongaguá,23022.00,913697.00,52169.00,8901647.83,10884221.18,100884221.18,1,1
Monte Alegre do Sul,3335.00,192078.3,7589.00,324475.81,498148.51,23831918.04,0,1
Monte Alto,1144.70,1747925.00,47959.00,3141500.00,4332180.00,115500000.00,1,1
Monte Aprazível,6415.60,627139.4,23045.00,2051805.77,2857979.17,54826087.79,1,0
Monte Azul Paulista,14450.00,490771.6,18408.00,870144.00,1212284.54,51746419.39,0,0
Monte Castelo,1207.00,89703.72,4007.00,14533.54,52311.03,14712583.65,0,0
Monte Mor,14030.00,2260958.00,56359.00,2678647.71,2839065.85,156376685.40,1,1
Monteiro Lobato,784.00,57845.93,4364.00,,105899.07,15950900.55,0,1
Morro Agudo,2400.60,1240390.00,31383.00,1619101.48,1736760.68,104008423.38,0,0
Morungaba,2473.00,396689.5,12815.00,917961.09,1421824.39,34515887.22,1,1
Motuca,841.60,82173.11,4536.00,61525.37,245448.00,17458210.26,0,0
Narandiba,1222.00,229625.1,4671.00,139520.60,373495.25,4546448.06,0,0
Nazaré Paulista,5500.00,310530.6,17842.00,1169470.00,1213748.59,50000000.00,0,1
Neves Paulista,2127.20,188280.7,8677.00,851216.54,1160447.72,25190832.82,0,0
Nhandeara,360.00,284482.4,10790.00,1142531.05,1482873.57,29787660.10,0,0
