Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Embu-Guacu,24838,1063716,66470,97.33
Engeiro Coelho,2042,439779.4,19190,75.28
Espirito Santo do Pinhal,8915,1327264,42405,90.58
Estiva Gerbi,3328,234026.5,10777,79.76
Estrela D Oeste,2800,578256.3,8132,86.19
Estrela do Norte,885,83359.7,2658,84.61
Euclides da Cunha Paulista,1362,112223.9,9514,64.31
Fernando Prestes,972,163966.6,5566,89.13
Fernandopolis,36179,1975540,65776,96.94
Fernao,321,48527.61,1622,59.19
Ferraz de Vasconcelos,61517,2859009,185584,95.51
Flora Rica,2,35513.77,1628,85.63
Floreal,516,55110.45,2897,83.81
Franca,99930,9689019,335564,98.24
Francisco Morato,73498,1372211,168120,99.8
Franco da Rocha,89033,2460082,146129,92.13
Gabriel Monteiro,330,59427.23,2694,87.45
Galia,1800,122800,6663,76.66
Garca,27216,1091079,42654,93.11
Gastao Vidigal,1776,59541.92,4614,92.8
Gaviao Peixoto,2017,860154.2,4553,87.31
General Salgado,3287,528457.4,10671,87.59
Getulina,2160,170097,10817,80.35
Glicerio,54,101972.8,4698,76.07
Guaicara,4756,186879.7,11576,92.55
Guaimbe,825,72903.03,5493,90.19
Guaira,12744,3821035,38619,96.81
Guapiacu,5005,508225.6,20021,90.27
Guapiara,1159,529401.7,17724,41.59
Guaracai,7300,259904,8428,81.22
Guaraci,8502,325484.7,10685,92.09
Guarani D Oeste,450,30634.16,1937,89
Guaranta,1390,147330.7,6452,89.43
Guararapes,8388,1237334,31696,93.62
Guararema,11043,1427047,28330,86.05
Guaratingueta,28201,4232993,116597,95.34
Guarei,3217,229065.7,15395,57.76
Guariba,613,1174644,38010,98.29
Guaruja,158852,7905851,308522,99.98
Guarulhos,361369,53974919,1313169,100
Guatapara,3186,206085.1,7297,78.48
Guzolandia,3270,64696.53,5004,87.89
Herculandia,2105,269831,9091,93.08
Holambra,1653,909273.8,13616,81.71
Hortolandia,84012,11515072,218934,100
Iacanga,6090,629954.6,10939,88.23
Iacri,1285,149485.8,6320,82.96
Iaras,2192,134887.9,6731,44.5
Ibate,0,774228.3,33572,96.45
Ibira,1558,221036.7,11733,93.22
Ibirarema,3448,350597,7274,93.58
Ibitinga,14485,1354044,57022,96.62
Ibiuna,20866,1597888,74875,36.32
Icem,2025,405233.1,7867,86.44
Iepe,2309,243516.4,7828,91.84
Igarata,3400,177756.3,9169,83.93
Iguape,5679,620571.6,29235,87.26
Ilha Solteira,10603,568519.7,25591,93.84
Ilhabela,16425,3011806,31988,99.31
Indaiatuba,72543,11735700,232586,98.99
Indiana,1460,60021.65,4791,87.41
Indiapora,700,72565,3863,89.67
Inubia Paulista,292,124058.9,3818,89.81
Ipaussu,7360,367707.4,14247,93.63
Ipero,9557,476481.7,32632,61.71
Ipeuna,2490,659789.4,7087,89.45
Ipigua,377,85629.95,5011,63.44
Ipua,6886,353575.5,15360,96.58
Iracemapolis,726,1163373,22655,98.21
Irapuru,1032,84026.44,7460,70.7
Itai,3647,771037,25753,78.52
Itajobi,3502,560527.7,14618,86.75
Itaju,576,93803.85,3539,78.75
Itanhaem,36091,1603283,95235,99.2
Itaoca,475,35903.66,3186,54.52
Itapecerica da Serra,956,3853304,164559,99.17
Itapetininga,16748,4652157,155410,91.67
Itapeva,48399,2409815,90414,89.32
Itapevi,130074,12147662,226211,100
Itapira,1019,3430994,70802,93.47
Itapirapua Paulista,768,33631.13,4075,50.58
Itapolis,9787,1178197,41120,93.05
Itaporanga,7001,280430.7,14635,79.83
Itapui,3169,610325.8,13314,96.69
Itapura,1500,99603.89,4748,79.91
